Title,Director,Type,My Rating,Average Rating,Date Watched,Date Added,Language,Genre,Status,URL
The Hours,Stephen Daldry,Movie,4,3.8,3/6/2012,3/6/2012,English,Drama,Watched,
High Fidelity,Stephen Frears,Movie,4,3.8,3/6/2012,3/6/2012,English,Music,Watched,
Khakee,Rajkumar Santoshi,Movie,4,3.8,3/6/2012,3/6/2012,Hindi,Thriller,Watched,
Kaminey,Vishal Bhardwaj,Movie,4,3.7,3/6/2012,3/6/2012,Hindi,Crime,Watched,
In the Bedroom,Todd Field,Movie,4,3.7,3/6/2012,3/6/2012,English,Drama,Watched,
Vanilla Sky,Cameron Crowe,Movie,4,3.5,3/6/2012,3/6/2012,English,Thriller,Watched,
Memento,Christopher Nolan,Movie,5,4.3,3/6/2012,3/6/2012,English,Thriller,Watched,
A Separation,Asghar Farhadi,Movie,5,4.2,3/6/2012,3/6/2012,Persian,Drama,Watched,
Snatch,Guy Ritchie,Movie,5,4.2,3/6/2012,3/6/2012,English,Comedy,Watched,
Nine Queens,Fabian Bielinsky,Movie,5,4.0,3/6/2012,3/6/2012,English,Thriller,Watched,
In America,Jim Sheridan,Movie,5,3.9,3/6/2012,3/6/2012,English,Drama,Watched,
Road to Perdition,Sam Mendes,Movie,5,3.9,3/6/2012,3/6/2012,English,Crime,Watched,
The Others,Alejandro Amenabar,Movie,5,3.8,3/6/2012,3/6/2012,English,"Horror, Family",Watched,
Star Trek,J.J. Abrams,Movie,3,4.0,2/26/2012,2/26/2012,English,Fantasy,Watched,
Rocket Singh: Salesman of the Year,Shimit Amin,Movie,3,3.8,2/26/2012,2/26/2012,Hindi,Comedy,Watched,
Mission: Impossible - Ghost Protocol,Brad Bird,Movie,3,3.7,2/26/2012,2/26/2012,English,Thriller,Watched,
The Adventures of Tintin,Steven Spielberg,Movie,3,3.7,2/26/2012,2/26/2012,English,Fantasy,Watched,
Friends,"David Crane, Marta Kauffman",Series,4,4.5,2/26/2012,2/26/2012,English,Romance,Watched,
A Beautiful Mind,Ron Howard,Movie,4,4.1,2/26/2012,2/26/2012,English,Biography,Watched,
Zindagi Na Milegi Dobara,Zoya Akhtar,Movie,4,4.1,2/26/2012,2/26/2012,Hindi,Comedy,Watched,
Scent of a Woman,Martin Brest,Movie,4,4.0,2/26/2012,2/26/2012,English,Drama,Watched,
Rain Man,Barry Levinson,Movie,4,4.0,2/26/2012,2/26/2012,English,Drama,Watched,
